ID,Time,Time unit,Biomarker,Measurement,Biomarker unit,Dose,Dose unit,Duration
1,0.3333333333333333,d,Plasma concentration,3.5700000000000003,ng/mL,,,
1,0,d,Body weight,28.6,g,2.8600000000000003,mg,
2,4,d,Body weight,32.3,g,3.23,mg,
2,4.083333333333333,d,Plasma concentration,5.33,ng/mL,,,
3,4.166666666666667,d,Plasma concentration,3.35,ng/mL,,,
3,4,d,Body weight,25.6,g,2.5600000000000005,mg,
10,0,d,Body weight,24.1,g,2.41,mg,
10,1.0,d,Plasma concentration,0.0414,ng/mL,,,
12,0,d,Body weight,28.3,g,2.83,mg,
12,0,d,Plasma concentration,0.00183,ng/mL,,,
14,0.16666666666666666,d,Plasma concentration,4.0200000000000005,ng/mL,,,
14,0,d,Body weight,30.6,g,3.0600000000000005,mg,
18,4,d,Body weight,21.6,g,2.16,mg,
18,4.5,d,Plasma concentration,3.21,ng/mL,,,
20,0,d,Body weight,30.9,g,3.09,mg,
20,0.3333333333333333,d,Plasma concentration,3.0700000000000003,ng/mL,,,
27,0.08333333333333333,d,Plasma concentration,3.97,ng/mL,,,
27,0,d,Body weight,26.6,g,2.66,mg,
30,4,d,Body weight,26.6,g,2.66,mg,
30,4.0,d,Plasma concentration,0.011800000000000001,ng/mL,,,
33,5.0,d,Plasma concentration,3.0500000000000003,ng/mL,,,
33,4,d,Body weight,25.7,g,2.5700000000000003,mg,
43,4,d,Body weight,29.8,g,2.9800000000000004,mg,
43,4.083333333333333,d,Plasma concentration,4.63,ng/mL,,,
50,4,d,Body weight,27.0,g,2.7,mg,
50,4.041666666666667,d,Plasma concentration,7.24,ng/mL,,,
56,0.020833333333333332,d,Plasma concentration,5.42,ng/mL,,,
56,0,d,Body weight,27.4,g,2.74,mg,
57,0.08333333333333333,d,Plasma concentration,5.0200000000000005,ng/mL,,,
57,0,d,Body weight,22.5,g,2.25,mg,
61,0.020833333333333332,d,Plasma concentration,7.390000000000001,ng/mL,,,
61,0,d,Body weight,27.1,g,2.7100000000000004,mg,
73,5.0,d,Plasma concentration,2.18,ng/mL,,,
73,4,d,Body weight,24.1,g,2.41,mg,
74,0,d,Body weight,29.9,g,2.99,mg,
74,1.0,d,Plasma concentration,0.17500000000000002,ng/mL,,,
76,0.041666666666666664,d,Plasma concentration,7.74,ng/mL,,,
76,0,d,Body weight,18.8,g,1.8800000000000001,mg,
77,4,d,Body weight,28.8,g,2.8800000000000003,mg,
77,4.041666666666667,d,Plasma concentration,5.8100000000000005,ng/mL,,,
83,4.166666666666667,d,Plasma concentration,3.39,ng/mL,,,
83,4,d,Body weight,26.6,g,2.66,mg,
102,4,d,Body weight,25.2,g,2.52,mg,
102,4.5,d,Plasma concentration,1.94,ng/mL,,,
103,4.333333333333333,d,Plasma concentration,4.6000000000000005,ng/mL,,,
103,4,d,Body weight,27.3,g,2.7300000000000004,mg,
110,0,d,Body weight,29.8,g,2.9800000000000004,mg,
110,0.5,d,Plasma concentration,0.448,ng/mL,,,
114,4.333333333333333,d,Plasma concentration,6.28,ng/mL,,,
114,4,d,Body weight,26.3,g,2.6300000000000003,mg,
120,4.020833333333333,d,Plasma concentration,11.5,ng/mL,,,
120,4,d,Body weight,26.5,g,2.6500000000000004,mg,
126,0,d,Body weight,23.9,g,2.39,mg,
126,0.041666666666666664,d,Plasma concentration,6.640000000000001,ng/mL,,,
148,4,d,Body weight,27.1,g,2.7100000000000004,mg,
148,4.020833333333333,d,Plasma concentration,9.370000000000001,ng/mL,,,
152,0.5,d,Plasma concentration,0.9,ng/mL,,,
152,0,d,Body weight,29.0,g,2.9000000000000004,mg,
160,0,d,Body weight,27.9,g,2.79,mg,
160,0.16666666666666666,d,Plasma concentration,4.83,ng/mL,,,
